=== MAP GENERATION DATA ===

--- STATIONS ---
BFP (bfpbuilding): Grid (23, 31) | Pixels (4416, 5952) | Rot: 0
Horizontal double sidewalk: Grid (3, 21) | Pixels (576, 4032) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (14, 30) | Pixels (2688, 5760) | Rot: 0
intersection3 E W S: Grid (26, 13) | Pixels (4992, 2496) | Rot: 0
Horizontal double sidewalk: Grid (7, 9) | Pixels (1344, 1728) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (29, 24) | Pixels (5568, 4608) | Rot: 0
intersection3 N W S: Grid (21, 20) | Pixels (4032, 3840) | Rot: 0
Horizontal double sidewalk: Grid (29, 33) | Pixels (5568, 6336) | Rot: 0
Horizontal double sidewalk: Grid (21, 38) | Pixels (4032, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (33, 3) | Pixels (6336, 576) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (33, 12) | Pixels (6336, 2304) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 6) | Pixels (384, 1152) | Rot: 0
Horizontal double sidewalk: Grid (33, 21) | Pixels (6336, 4032) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 15) | Pixels (384, 2880) | Rot: 0
Horizontal double sidewalk: Grid (25, 17) | Pixels (4800, 3264) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 24) | Pixels (384, 4608) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (10, 37) | Pixels (1920, 7104) | Rot: 0
Horizontal double sidewalk: Grid (22, 2) | Pixels (4224, 384) | Rot: 0
intersection3 N E S: Grid (2, 33) | Pixels (384, 6336) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (32, 34) | Pixels (6144, 6528) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (14, 7) | Pixels (2688, 1344) | Rot: 0
Intersection N E W S: Grid (14, 16) | Pixels (2688, 3072) | Rot: 0
Horizontal double sidewalk: Grid (3, 16) | Pixels (576, 3072) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (14, 25) | Pixels (2688, 4800) | Rot: 0
Horizontal double sidewalk: Grid (29, 10) | Pixels (5568, 1920) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (6, 8) | Pixels (1152, 1536) | Rot: 0
Horizontal double sidewalk: Grid (21, 6) | Pixels (4032, 1152) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (6, 17) | Pixels (1152, 3264) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (21, 15) | Pixels (4032, 2880) | Rot: 0
Horizontal double sidewalk: Grid (6, 26) | Pixels (1152, 4992) | Rot: 0
intersection 3 N E W: Grid (29, 28) | Pixels (5568, 5376) | Rot: 0
Intersection N E W S: Grid (21, 24) | Pixels (4032, 4608) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (33, 7) | Pixels (6336, 1344) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (10, 5) | Pixels (1920, 960) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 10) | Pixels (384, 1920) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 19) | Pixels (384, 3648) | Rot: 0
Horizontal double sidewalk: Grid (25, 21) | Pixels (4800, 4032) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 28) | Pixels (384, 5376) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (32, 29) | Pixels (6144, 5568) | Rot: 0
Horizontal double sidewalk: Grid (22, 6) | Pixels (4224, 1152) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 37) | Pixels (384, 7104) | Rot: 0
Horizontal double sidewalk: Grid (3, 2) | Pixels (576, 384) | Rot: 0
intersection3 E W S: Grid (14, 2) | Pixels (2688, 384) | Rot: 0
intersection 3 N E W: Grid (32, 38) | Pixels (6144, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (35, 34) | Pixels (6720, 6528) | Rot: 0
Horizontal double sidewalk: Grid (28, 13) | Pixels (5376, 2496) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (9, 18) | Pixels (1728, 3456) | Rot: 0
Horizontal double sidewalk: Grid (5, 38) | Pixels (960, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (6, 3) | Pixels (1152, 576) | Rot: 0
Intersection N E W S: Grid (6, 12) | Pixels (1152, 2304) | Rot: 0
Horizontal double sidewalk: Grid (21, 10) | Pixels (4032, 1920) | Rot: 0
intersection 3 N E W: Grid (6, 21) | Pixels (1152, 4032) | Rot: 0
intersection3 E W S: Grid (29, 23) | Pixels (5568, 4416) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (21, 19) | Pixels (4032, 3648) | Rot: 0
intersection3 E W S: Grid (33, 2) | Pixels (6336, 384) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (33, 11) | Pixels (6336, 2112) | Rot: 0
intersection 3 N E W: Grid (10, 9) | Pixels (1920, 1728) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 5) | Pixels (384, 960) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 14) | Pixels (384, 2688) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 23) | Pixels (384, 4416) | Rot: 0
intersection3 N E S: Grid (32, 24) | Pixels (6144, 4608) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (35, 20) | Pixels (6720, 3840) | Rot: 0
Intersection N E W S: Grid (32, 33) | Pixels (6144, 6336) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (35, 29) | Pixels (6720, 5568) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (14, 6) | Pixels (2688, 1152) | Rot: 0
Horizontal double sidewalk: Grid (13, 38) | Pixels (2496, 7296) | Rot: 0
Horizontal double sidewalk: Grid (24, 38) | Pixels (4608, 7296) | Rot: 0
intersection 3 N E W: Grid (35, 38) | Pixels (6720, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (28, 8) | Pixels (5376, 1536) | Rot: 0
Horizontal double sidewalk: Grid (36, 21) | Pixels (6912, 4032) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (9, 13) | Pixels (1728, 2496) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (5, 24) | Pixels (960, 4608) | Rot: 0
Horizontal double sidewalk: Grid (5, 33) | Pixels (960, 6336) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (6, 7) | Pixels (1152, 1344) | Rot: 0
Intersection N E W S: Grid (6, 16) | Pixels (1152, 3072) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (21, 14) | Pixels (4032, 2688) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (21, 23) | Pixels (4032, 4416) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (10, 4) | Pixels (1920, 768) | Rot: 0
Horizontal double sidewalk: Grid (25, 2) | Pixels (4800, 384) | Rot: 0
intersection3 N E S: Grid (2, 9) | Pixels (384, 1728) | Rot: 0
Horizontal double sidewalk: Grid (32, 10) | Pixels (6144, 1920) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 18) | Pixels (384, 3456) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (32, 19) | Pixels (6144, 3648) | Rot: 0
Intersection N E W S: Grid (32, 28) | Pixels (6144, 5376) | Rot: 0
Horizontal double sidewalk: Grid (35, 24) | Pixels (6720, 4608) | Rot: 0
Horizontal double sidewalk: Grid (24, 24) | Pixels (4608, 4608) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (32, 37) | Pixels (6144, 7104) | Rot: 0
Horizontal double sidewalk: Grid (16, 20) | Pixels (3072, 3840) | Rot: 0
Horizontal double sidewalk: Grid (13, 33) | Pixels (2496, 6336) | Rot: 0
Intersection N E W S: Grid (35, 33) | Pixels (6720, 6336) | Rot: 0
Horizontal double sidewalk: Grid (16, 38) | Pixels (3072, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (28, 3) | Pixels (5376, 576) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (9, 17) | Pixels (1728, 3264) | Rot: 0
Horizontal double sidewalk: Grid (9, 26) | Pixels (1728, 4992) | Rot: 0
intersection3 E W S: Grid (6, 2) | Pixels (1152, 384) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (6, 11) | Pixels (1152, 2112) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (6, 20) | Pixels (1152, 3840) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (2, 4) | Pixels (384, 768) | Rot: 0
Horizontal double sidewalk: Grid (24, 10) | Pixels (4608, 1920) | Rot: 0
intersection3 N W S: Grid (32, 23) | Pixels (6144, 4416) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (32, 32) | Pixels (6144, 6144) | Rot: 0
intersection3 E W S: Grid (35, 28) | Pixels (6720, 5376) | Rot: 0
Horizontal double sidewalk: Grid (16, 24) | Pixels (3072, 4608) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (35, 37) | Pixels (6720, 7104) | Rot: 0
Horizontal double sidewalk: Grid (36, 2) | Pixels (6912, 384) | Rot: 0
Horizontal double sidewalk: Grid (16, 33) | Pixels (3072, 6336) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (28, 7) | Pixels (5376, 1344) | Rot: 0
intersection 3 N E W: Grid (17, 16) | Pixels (3264, 3072) | Rot: 0
intersection3 N W S: Grid (9, 12) | Pixels (1728, 2304) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (5, 23) | Pixels (960, 4416) | Rot: 0
intersection 3 N E W: Grid (9, 21) | Pixels (1728, 4032) | Rot: 0
intersection3 N E S: Grid (6, 6) | Pixels (1152, 1152) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (8, 25) | Pixels (1536, 4800) | Rot: 0
Horizontal double sidewalk: Grid (27, 38) | Pixels (5184, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (19, 34) | Pixels (3648, 6528) | Rot: 0
intersection 3 N E W: Grid (23, 13) | Pixels (4416, 2496) | Rot: 0
Horizontal double sidewalk: Grid (35, 5) | Pixels (6720, 960) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (32, 27) | Pixels (6144, 5184) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (35, 32) | Pixels (6720, 6144) | Rot: 0
Horizontal double sidewalk: Grid (16, 28) | Pixels (3072, 5376) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 25) | Pixels (7296, 4800) | Rot: 0
Horizontal double sidewalk: Grid (17, 2) | Pixels (3264, 384) | Rot: 0
intersection3 E W S: Grid (28, 2) | Pixels (5376, 384) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 34) | Pixels (7296, 6528) | Rot: 0
Horizontal double sidewalk: Grid (5, 9) | Pixels (960, 1728) | Rot: 0
Intersection N E W S: Grid (9, 16) | Pixels (1728, 3072) | Rot: 0
Horizontal double sidewalk: Grid (19, 20) | Pixels (3648, 3840) | Rot: 0
Horizontal double sidewalk: Grid (27, 33) | Pixels (5184, 6336) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (19, 29) | Pixels (3648, 5568) | Rot: 0
Horizontal double sidewalk: Grid (8, 38) | Pixels (1536, 7296) | Rot: 0
intersection 3 N E W: Grid (19, 38) | Pixels (3648, 7296) | Rot: 0
Horizontal double sidewalk: Grid (30, 38) | Pixels (5760, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (23, 8) | Pixels (4416, 1536) | Rot: 0
Horizontal double sidewalk: Grid (23, 17) | Pixels (4416, 3264) | Rot: 0
Horizontal double sidewalk: Grid (12, 26) | Pixels (2304, 4992) | Rot: 0
Horizontal double sidewalk: Grid (13, 9) | Pixels (2496, 1728) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 20) | Pixels (7296, 3840) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 29) | Pixels (7296, 5568) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (26, 27) | Pixels (4992, 5184) | Rot: 0
Horizontal double sidewalk: Grid (9, 2) | Pixels (1728, 384) | Rot: 0
Corner North West: Grid (38, 38) | Pixels (7296, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (26, 36) | Pixels (4992, 6912) | Rot: 0
intersection3 E W S: Grid (27, 10) | Pixels (5184, 1920) | Rot: 0
Horizontal double sidewalk: Grid (8, 6) | Pixels (1536, 1152) | Rot: 0
Horizontal double sidewalk: Grid (27, 28) | Pixels (5184, 5376) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (8, 24) | Pixels (1536, 4608) | Rot: 0
Horizontal double sidewalk: Grid (19, 24) | Pixels (3648, 4608) | Rot: 0
Horizontal double sidewalk: Grid (8, 33) | Pixels (1536, 6336) | Rot: 0
Intersection N E W S: Grid (19, 33) | Pixels (3648, 6336) | Rot: 0
Horizontal double sidewalk: Grid (30, 33) | Pixels (5760, 6336) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (11, 29) | Pixels (2112, 5568) | Rot: 0
Horizontal double sidewalk: Grid (11, 38) | Pixels (2112, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (23, 3) | Pixels (4416, 576) | Rot: 0
Horizontal double sidewalk: Grid (20, 16) | Pixels (3840, 3072) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (23, 12) | Pixels (4416, 2304) | Rot: 0
Horizontal double sidewalk: Grid (12, 21) | Pixels (2304, 4032) | Rot: 0
Horizontal double sidewalk: Grid (23, 21) | Pixels (4416, 4032) | Rot: 0
Horizontal double sidewalk: Grid (4, 26) | Pixels (768, 4992) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 6) | Pixels (7296, 1152) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 15) | Pixels (7296, 2880) | Rot: 0
intersection3 N W S: Grid (38, 24) | Pixels (7296, 4608) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (26, 22) | Pixels (4992, 4224) | Rot: 0
intersection3 N W S: Grid (38, 33) | Pixels (7296, 6336) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (7, 36) | Pixels (1344, 6912) | Rot: 0
Horizontal double sidewalk: Grid (30, 10) | Pixels (5760, 1920) | Rot: 0
Horizontal double sidewalk: Grid (27, 23) | Pixels (5184, 4416) | Rot: 0
intersection3 E W S: Grid (19, 28) | Pixels (3648, 5376) | Rot: 0
Horizontal double sidewalk: Grid (30, 28) | Pixels (5760, 5376) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (19, 37) | Pixels (3648, 7104) | Rot: 0
Horizontal double sidewalk: Grid (31, 2) | Pixels (5952, 384) | Rot: 0
Horizontal double sidewalk: Grid (20, 2) | Pixels (3840, 384) | Rot: 0
intersection 3 N E W: Grid (11, 33) | Pixels (2112, 6336) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (23, 7) | Pixels (4416, 1344) | Rot: 0
Horizontal double sidewalk: Grid (12, 16) | Pixels (2304, 3072) | Rot: 0
Horizontal double sidewalk: Grid (4, 12) | Pixels (768, 2304) | Rot: 0
Horizontal double sidewalk: Grid (4, 21) | Pixels (768, 4032) | Rot: 0
Horizontal double sidewalk: Grid (22, 38) | Pixels (4224, 7296) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (14, 34) | Pixels (2688, 6528) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 10) | Pixels (7296, 1920) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 19) | Pixels (7296, 3648) | Rot: 0
intersection3 N W S: Grid (26, 17) | Pixels (4992, 3264) | Rot: 0
intersection3 N W S: Grid (38, 28) | Pixels (7296, 5376) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (26, 26) | Pixels (4992, 4992) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 37) | Pixels (7296, 7104) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (26, 35) | Pixels (4992, 6720) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (19, 5) | Pixels (3648, 960) | Rot: 0
Horizontal double sidewalk: Grid (27, 18) | Pixels (5184, 3456) | Rot: 0
Corner North West: Grid (19, 14) | Pixels (3648, 2688) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (8, 23) | Pixels (1536, 4416) | Rot: 0
Horizontal double sidewalk: Grid (30, 23) | Pixels (5760, 4416) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (11, 28) | Pixels (2112, 5376) | Rot: 0
Horizontal double sidewalk: Grid (20, 6) | Pixels (3840, 1152) | Rot: 0
Horizontal double sidewalk: Grid (31, 6) | Pixels (5952, 1152) | Rot: 0
Horizontal double sidewalk: Grid (12, 2) | Pixels (2304, 384) | Rot: 0
intersection3 E W S: Grid (23, 2) | Pixels (4416, 384) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (23, 11) | Pixels (4416, 2112) | Rot: 0
Horizontal double sidewalk: Grid (4, 16) | Pixels (768, 3072) | Rot: 0
Horizontal double sidewalk: Grid (37, 13) | Pixels (7104, 2496) | Rot: 0
Horizontal double sidewalk: Grid (22, 24) | Pixels (4224, 4608) | Rot: 0
intersection3 N E S: Grid (14, 20) | Pixels (2688, 3840) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (14, 29) | Pixels (2688, 5568) | Rot: 0
Horizontal double sidewalk: Grid (3, 38) | Pixels (576, 7296) | Rot: 0
intersection 3 N E W: Grid (14, 38) | Pixels (2688, 7296) | Rot: 0
intersection3 N W S: Grid (38, 5) | Pixels (7296, 960) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (38, 14) | Pixels (7296, 2688) | Rot: 0
Horizontal double sidewalk: Grid (15, 9) | Pixels (2880, 1728) | Rot: 0
Horizontal double sidewalk: Grid (16, 9) | Pixels (3072, 1728) | Rot: 0
Horizontal double sidewalk: Grid (17, 9) | Pixels (3264, 1728) | Rot: 0
Horizontal double sidewalk: Grid (18, 9) | Pixels (3456, 1728) | Rot: 0
Horizontal double sidewalk: Grid (19, 11) | Pixels (3648, 2112) | Rot: 90
Horizontal double sidewalk: Grid (19, 12) | Pixels (3648, 2304) | Rot: 90
Horizontal double sidewalk: Grid (15, 14) | Pixels (2880, 2688) | Rot: 180
Horizontal double sidewalk: Grid (16, 14) | Pixels (3072, 2688) | Rot: 180
Horizontal double sidewalk: Grid (18, 14) | Pixels (3456, 2688) | Rot: 180
Horizontal double sidewalk: Grid (14, 13) | Pixels (2688, 2496) | Rot: 270
Horizontal double sidewalk: Grid (14, 12) | Pixels (2688, 2304) | Rot: 270
Horizontal double sidewalk: Grid (14, 11) | Pixels (2688, 2112) | Rot: 270
Horizontal double sidewalk: Grid (14, 10) | Pixels (2688, 1920) | Rot: 270
Horizontal double sidewalk: Grid (34, 14) | Pixels (6528, 2688) | Rot: 270
Horizontal double sidewalk: Grid (34, 15) | Pixels (6528, 2880) | Rot: 270
Horizontal double sidewalk: Grid (34, 16) | Pixels (6528, 3072) | Rot: 270
Horizontal double sidewalk: Grid (34, 17) | Pixels (6528, 3264) | Rot: 270
Horizontal double sidewalk: Grid (33, 18) | Pixels (6336, 3456) | Rot: 0
Horizontal double sidewalk: Grid (31, 18) | Pixels (5952, 3456) | Rot: 0
Horizontal double sidewalk: Grid (30, 18) | Pixels (5760, 3456) | Rot: 0
Horizontal double sidewalk: Grid (30, 13) | Pixels (5760, 2496) | Rot: 0
Horizontal double sidewalk: Grid (31, 13) | Pixels (5952, 2496) | Rot: 0
Horizontal double sidewalk: Grid (32, 13) | Pixels (6144, 2496) | Rot: 0
Horizontal double sidewalk: Grid (25, 29) | Pixels (4800, 5568) | Rot: 0
Horizontal double sidewalk: Grid (24, 29) | Pixels (4608, 5568) | Rot: 0
Horizontal double sidewalk: Grid (23, 29) | Pixels (4416, 5568) | Rot: 0
Horizontal double sidewalk: Grid (22, 29) | Pixels (4224, 5568) | Rot: 0
Horizontal double sidewalk: Grid (25, 34) | Pixels (4800, 6528) | Rot: 0
Horizontal double sidewalk: Grid (24, 34) | Pixels (4608, 6528) | Rot: 0
Horizontal double sidewalk: Grid (23, 34) | Pixels (4416, 6528) | Rot: 0
Horizontal double sidewalk: Grid (22, 34) | Pixels (4224, 6528) | Rot: 0
Horizontal double sidewalk: Grid (26, 32) | Pixels (4992, 6144) | Rot: 90
Horizontal double sidewalk: Grid (26, 31) | Pixels (4992, 5952) | Rot: 90
Horizontal double sidewalk: Grid (26, 30) | Pixels (4992, 5760) | Rot: 90
intersection3 N W S: Grid (26, 34) | Pixels (4992, 6528) | Rot: 0
intersection3 N W S: Grid (26, 33) | Pixels (4992, 6336) | Rot: 180
intersection3 N W S: Grid (26, 29) | Pixels (4992, 5568) | Rot: 0
intersection3 N W S: Grid (21, 29) | Pixels (4032, 5568) | Rot: 180
intersection3 N W S: Grid (21, 33) | Pixels (4032, 6336) | Rot: 0
Horizontal double sidewalk: Grid (21, 32) | Pixels (4032, 6144) | Rot: 90
Horizontal double sidewalk: Grid (21, 31) | Pixels (4032, 5952) | Rot: 90
Horizontal double sidewalk: Grid (21, 30) | Pixels (4032, 5760) | Rot: 90
Horizontal double sidewalk: Grid (29, 17) | Pixels (5568, 3264) | Rot: 90
Horizontal double sidewalk: Grid (29, 16) | Pixels (5568, 3072) | Rot: 90
Horizontal double sidewalk: Grid (29, 15) | Pixels (5568, 2880) | Rot: 90
Horizontal double sidewalk: Grid (29, 14) | Pixels (5568, 2688) | Rot: 90
intersection3 N W S: Grid (33, 13) | Pixels (6336, 2496) | Rot: 90
intersection3 N W S: Grid (34, 13) | Pixels (6528, 2496) | Rot: 270
intersection 3 N E W: Grid (32, 18) | Pixels (6144, 3456) | Rot: 180
intersection 3 N E W: Grid (29, 18) | Pixels (5568, 3456) | Rot: 0
intersection 3 N E W: Grid (29, 13) | Pixels (5568, 2496) | Rot: 180
intersection 3 N E W: Grid (19, 9) | Pixels (3648, 1728) | Rot: 270
intersection 3 N E W: Grid (14, 14) | Pixels (2688, 2688) | Rot: 90
intersection 3 N E W: Grid (19, 13) | Pixels (3648, 2496) | Rot: 90
intersection 3 N E W: Grid (17, 14) | Pixels (3264, 2688) | Rot: 180
intersection 3 N E W: Grid (19, 10) | Pixels (3648, 1920) | Rot: 90
Vertical DOUBLE SIDEWALK: Grid (14, 8) | Pixels (2688, 1536) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (19, 8) | Pixels (3648, 1536) | Rot: 0
Vertical DOUBLE SIDEWALK: Grid (35, 13) | Pixels (6720, 2496) | Rot: 90
Corner North West: Grid (34, 19) | Pixels (6528, 3648) | Rot: 90
Corner North West: Grid (35, 19) | Pixels (6720, 3648) | Rot: 270
intersection3 N W S: Grid (34, 18) | Pixels (6528, 3456) | Rot: 0
intersection3 N W S: Grid (21, 28) | Pixels (4032, 5376) | Rot: 0
intersection3 N W S: Grid (26, 28) | Pixels (4992, 5376) | Rot: 180
Intersection N E W S: Grid (14, 9) | Pixels (2688, 1728) | Rot: 0
intersection3 N W S: Grid (11, 21) | Pixels (2112, 4032) | Rot: 90
Horizontal double sidewalk: Grid (11, 20) | Pixels (2112, 3840) | Rot: 90
Corner South East: Grid (11, 19) | Pixels (2112, 3648) | Rot: 0
Horizontal double sidewalk: Grid (14, 19) | Pixels (2688, 3648) | Rot: 90
Corner North West: Grid (12, 19) | Pixels (2304, 3648) | Rot: 0
Corner North West: Grid (12, 18) | Pixels (2304, 3456) | Rot: 180
Horizontal double sidewalk: Grid (13, 18) | Pixels (2496, 3456) | Rot: 0

--- BACKGROUND ---
grass: Grid (0, 0) | Pixels (0, 0) | Rot: 0
grass: Grid (1, 0) | Pixels (192, 0) | Rot: 0
grass: Grid (2, 0) | Pixels (384, 0) | Rot: 0
grass: Grid (3, 0) | Pixels (576, 0) | Rot: 0
dirt: Grid (4, 0) | Pixels (768, 0) | Rot: 0
grass: Grid (5, 0) | Pixels (960, 0) | Rot: 0
grass: Grid (6, 0) | Pixels (1152, 0) | Rot: 0
grass: Grid (7, 0) | Pixels (1344, 0) | Rot: 0
dirt: Grid (8, 0) | Pixels (1536, 0) | Rot: 0
grass: Grid (9, 0) | Pixels (1728, 0) | Rot: 0
dirt: Grid (10, 0) | Pixels (1920, 0) | Rot: 0
dirt: Grid (11, 0) | Pixels (2112, 0) | Rot: 0
grass: Grid (12, 0) | Pixels (2304, 0) | Rot: 0
grass: Grid (13, 0) | Pixels (2496, 0) | Rot: 0
grass: Grid (14, 0) | Pixels (2688, 0) | Rot: 0
dirt: Grid (15, 0) | Pixels (2880, 0) | Rot: 0
grass: Grid (16, 0) | Pixels (3072, 0) | Rot: 0
dirt: Grid (17, 0) | Pixels (3264, 0) | Rot: 0
grass: Grid (18, 0) | Pixels (3456, 0) | Rot: 0
grass: Grid (19, 0) | Pixels (3648, 0) | Rot: 0
grass: Grid (20, 0) | Pixels (3840, 0) | Rot: 0
grass: Grid (21, 0) | Pixels (4032, 0) | Rot: 0
grass: Grid (22, 0) | Pixels (4224, 0) | Rot: 0
dirt: Grid (23, 0) | Pixels (4416, 0) | Rot: 0
grass: Grid (24, 0) | Pixels (4608, 0) | Rot: 0
grass: Grid (25, 0) | Pixels (4800, 0) | Rot: 0
grass: Grid (26, 0) | Pixels (4992, 0) | Rot: 0
grass: Grid (27, 0) | Pixels (5184, 0) | Rot: 0
grass: Grid (28, 0) | Pixels (5376, 0) | Rot: 0
grass: Grid (29, 0) | Pixels (5568, 0) | Rot: 0
grass: Grid (30, 0) | Pixels (5760, 0) | Rot: 0
grass: Grid (31, 0) | Pixels (5952, 0) | Rot: 0
grass: Grid (32, 0) | Pixels (6144, 0) | Rot: 0
grass: Grid (33, 0) | Pixels (6336, 0) | Rot: 0
grass: Grid (34, 0) | Pixels (6528, 0) | Rot: 0
grass: Grid (35, 0) | Pixels (6720, 0) | Rot: 0
grass: Grid (36, 0) | Pixels (6912, 0) | Rot: 0
grass: Grid (37, 0) | Pixels (7104, 0) | Rot: 0
grass: Grid (38, 0) | Pixels (7296, 0) | Rot: 0
dirt: Grid (39, 0) | Pixels (7488, 0) | Rot: 0
dirt: Grid (40, 0) | Pixels (7680, 0) | Rot: 0
grass: Grid (0, 1) | Pixels (0, 192) | Rot: 0
grass: Grid (1, 1) | Pixels (192, 192) | Rot: 0
grass: Grid (2, 1) | Pixels (384, 192) | Rot: 0
dirt: Grid (3, 1) | Pixels (576, 192) | Rot: 0
dirt: Grid (4, 1) | Pixels (768, 192) | Rot: 0
grass: Grid (5, 1) | Pixels (960, 192) | Rot: 0
grass: Grid (6, 1) | Pixels (1152, 192) | Rot: 0
dirt: Grid (7, 1) | Pixels (1344, 192) | Rot: 0
grass: Grid (8, 1) | Pixels (1536, 192) | Rot: 0
grass: Grid (9, 1) | Pixels (1728, 192) | Rot: 0
grass: Grid (10, 1) | Pixels (1920, 192) | Rot: 0
grass: Grid (11, 1) | Pixels (2112, 192) | Rot: 0
dirt: Grid (12, 1) | Pixels (2304, 192) | Rot: 0
grass: Grid (13, 1) | Pixels (2496, 192) | Rot: 0
dirt: Grid (14, 1) | Pixels (2688, 192) | Rot: 0
grass: Grid (15, 1) | Pixels (2880, 192) | Rot: 0
grass: Grid (16, 1) | Pixels (3072, 192) | Rot: 0
dirt: Grid (17, 1) | Pixels (3264, 192) | Rot: 0
dirt: Grid (18, 1) | Pixels (3456, 192) | Rot: 0
grass: Grid (19, 1) | Pixels (3648, 192) | Rot: 0
dirt: Grid (20, 1) | Pixels (3840, 192) | Rot: 0
grass: Grid (21, 1) | Pixels (4032, 192) | Rot: 0
dirt: Grid (22, 1) | Pixels (4224, 192) | Rot: 0
